Date,Department,Category,Amount,Description,Type
2025-01-01,Sales,Software & Subscriptions,3828.17,Outreach License,Expense
2025-01-01,Finance,Software & Tools,1915.66,FloQast Close Management,Expense
2025-01-01,Marketing,Digital Advertising,12234.62,YouTube Pre-roll Ads,Expense
2025-01-01,Marketing,Software & Tools,13320.26,Marketo Subscription,Expense
2025-01-01,Operations,Office Supplies & General,1898.75,Janitorial Service Contract,Expense
2025-01-01,Operations,IT Infrastructure,3848.97,AWS Hosting - Monthly,Expense
2025-01-02,Finance,Software & Tools,3125.07,Coupa Procurement,Expense
2025-01-02,Finance,Recruiting & HR,384.84,Onboarding Materials,Expense
2025-01-02,Finance,Audit & Compliance,9956.51,Controls Testing - Q1,Expense
2025-01-02,Marketing,Events & Sponsorships,11125.81,Roadshow - New York,Expense
2025-01-02,Operations,Utilities,2725.86,Natural Gas - HQ,Expense
2025-01-02,Operations,Logistics & Shipping,1691.73,USPS Postage Meter,Expense
2025-01-02,Operations,Office Supplies & General,7276.71,Janitorial Service Contract,Expense
2025-01-02,Operations,Facilities & Rent,9018.98,Office Lease - Satellite Office,Expense
2025-01-03,Marketing,Digital Advertising,6961.96,LinkedIn Ads - Event Promo,Expense
2025-01-03,Marketing,Digital Advertising,7113.75,Paid Search - Non-Brand,Expense
2025-01-03,Marketing,Brand & Collateral,3863.73,Company Swag Order,Expense
2025-01-03,Sales,Training & Development,1136.25,Coaching Session,Expense
2025-01-03,Finance,Training & Certifications,933.26,CFA Program Materials,Expense
2025-01-03,Operations,Utilities,3395.08,Waste Management,Expense
2025-01-04,Finance,Office & Admin,1240.03,Subscription - WSJ,Expense
2025-01-04,Operations,IT Infrastructure,18253.96,Cybersecurity Suite - Palo Alto,Expense
2025-01-04,Operations,Security Services,1611.19,Visitor Management System,Expense
2025-01-05,Finance,Audit & Compliance,24354.83,Risk Assessment Services,Expense
2025-01-05,Operations,Insurance,3419.04,Directors & Officers Insurance,Expense
2025-01-05,Marketing,Software & Tools,4147.19,Google Analytics 360,Expense
2025-01-05,Operations,Utilities,4271.34,Water & Sewer - Regional West,Expense
2025-01-05,Marketing,Brand & Collateral,6445.29,Brand Guidelines Update,Expense
2025-01-06,Sales,Recurring Revenue,87222.97,Annual Contract - Northwind Traders,Revenue
2025-01-06,Finance,Software & Tools,3426.92,Concur Expense Management,Expense
2025-01-07,Marketing,PR & Communications,7581.93,Media Monitoring Service,Expense
2025-01-07,Marketing,Digital Advertising,3103.18,Paid Search - Brand Terms,Expense
2025-01-07,Finance,Software & Tools,2781.36,Concur Expense Management,Expense
2025-01-07,Finance,Training & Certifications,1985.84,Leadership Development,Expense
2025-01-07,Operations,Utilities,7939.18,Water & Sewer - HQ,Expense
2025-01-10,Marketing,Software & Tools,3550.25,ZoomInfo Marketing,Expense
2025-01-10,Sales,Client Entertainment,1354.44,Thank You Gift,Expense
2025-01-10,Finance,Office & Admin,625.86,Printer Toner & Paper,Expense
2025-01-10,Operations,Facilities & Rent,36847.35,Office Lease - Downtown Office,Expense
2025-01-11,Operations,Security Services,2254.18,Badge System License,Expense
2025-01-11,Operations,Office Supplies & General,3501.26,First Aid Supplies,Expense
2025-01-11,Finance,Banking & Merchant Fees,9275.99,ACH Processing Fees,Expense
2025-01-11,Operations,IT Infrastructure,7579.89,Cybersecurity Suite - Palo Alto,Expense
2025-01-12,Marketing,Events & Sponsorships,12890.5,Trade Show Booth - Finance Leaders Forum,Expense
2025-01-12,Sales,Sales Commissions,15467.14,Bonus - Q1 Performance,Expense
2025-01-13,Marketing,Software & Tools,2563.52,HubSpot License,Expense
2025-01-13,Sales,Sales Commissions,28400.52,Accelerator Bonus,Expense
2025-01-13,Sales,Office Supplies,590.18,Business Cards,Expense
2025-01-13,Operations,Logistics & Shipping,4928.15,Package Room Supplies,Expense
2025-01-13,Operations,Logistics & Shipping,3945.69,USPS Postage Meter,Expense
2025-01-13,Finance,Recruiting & HR,4169.78,LinkedIn Recruiter Seat,Expense
2025-01-14,Sales,Client Entertainment,3422.33,Thank You Gift,Expense
2025-01-14,Finance,Office & Admin,1012.72,Reference Materials,Expense
2025-01-14,Sales,Product Sales,84726.63,Professional Tier - Jasper Analytics,Revenue
2025-01-15,Sales,Sales Commissions,14787.8,Commission Payout - January,Expense
2025-01-15,Marketing,PR & Communications,4613.97,Crisis Communications Prep,Expense
2025-01-16,Marketing,Events & Sponsorships,4896.48,Virtual Event Platform,Expense
2025-01-16,Marketing,Brand & Collateral,4034.38,Print Brochures,Expense
2025-01-16,Operations,Office Supplies & General,1634.68,Paper Products,Expense
2025-01-17,Sales,Client Entertainment,1292.65,Event Tickets - Northwind Traders,Expense
2025-01-17,Sales,Software & Subscriptions,1569.3,Outreach License,Expense
2025-01-17,Operations,Facilities & Rent,27375.26,Building Maintenance Fee,Expense
2025-01-17,Finance,Recruiting & HR,1264.86,Recruiting Fee - Senior Accountant,Expense
2025-01-17,Marketing,Events & Sponsorships,11508.33,Roadshow - San Francisco,Expense
2025-01-18,Sales,Software & Subscriptions,774.44,Gong.io Platform,Expense
2025-01-18,Sales,Training & Development,1716.41,Sales Training Program,Expense
2025-01-18,Sales,Service Revenue,230726.35,Consulting Engagement - Harbor Media,Revenue
2025-01-18,Sales,Office Supplies,536.75,Presentation Materials,Expense
2025-01-19,Finance,Professional Services,4474.89,R&D Tax Credit Study,Expense
2025-01-19,Finance,Training & Certifications,1360.47,Finance Conference - CFO Forum,Expense
2025-01-19,Operations,Security Services,5242.13,Security Guard Contract,Expense
2025-01-19,Sales,Software & Subscriptions,1734.2,DocuSign,Expense
2025-01-20,Marketing,Content & Creative,15192.79,Video Production - Blog Series,Expense
2025-01-20,Marketing,Events & Sponsorships,4251.02,Conference Sponsorship - Finance Leaders Forum,Expense
2025-01-20,Operations,Equipment & Maintenance,17351.41,Monitor Refresh Program,Expense
2025-01-20,Sales,Service Revenue,94506.09,Implementation Services - Harbor Media,Revenue
2025-01-21,Operations,Insurance,5908.86,Property Insurance - Quarterly,Expense
2025-01-21,Operations,Equipment & Maintenance,4146.29,HVAC Maintenance,Expense
